session_id,device_category,user_region,traffic_source,payment_method_selected,user_tier,primary_product_category,past_purchases_count,items_in_cart,average_item_price,session_duration_secs,pages_viewed,items_added_count,total_cart_value_usd,product_viewed,cart_added,checkout_started,shipping_details_entered,payment_stage_completed,checkout_status,days_to_delivery,delivery_satisfaction_rating,historical_clv,coupon_discount_pct_offered,recovery_email_delay_hours,recovery_email_opened,recovery_email_conversion,basket_items
CIQ-00018,Mobile,Jeddah,Google Shopping,Tabby/Tamara,Logged-In Member,Fashion,7,3,27.45,481.5,13,3,82.35,1,1,1,1,1,1,2.4,5.0,1245.48,20,4,0,0,Sneakers|Sunglasses
CIQ-00019,desktop ,Jeddah,Google Shopping,Credit Card,Logged-In Member,Electronics,7,5,39.5,469.8,15,5,197.5,1,1,0,0,1,1,4.8,5.0,1036.64,10,12,0,0,Power Bank|Phone Case|Smart Watch|Bedsheet
CIQ-00020,Desktop,Dubai,Direct,Credit Card,Logged-In Member,Beauty,11,4,37.58,404.8,16,5,150.32,1,1,1,1,1,1,3.7,5.0,1630.95,0,48,0,0,Cleanser|Lip Tint
CIQ-00021,MOBILE,Abu Dhabi,Instagram Ads,Tabby/Tamara,Guest,Fashion,0,3,113.47,235.9,8,5,340.41,1,1,0,0,1,0,,,0.0,15,12,1,1,Handbag|Sunglasses|Phone Case
CIQ-00022,Mobile,Abu Dhabi,Google Shopping,Credit Card,Guest,Home & Living,1,2,122.15,159.3,7,3,244.3,1,1,0,0,0,0,,,240.85,5,12,1,0,Desk Lamp
CIQ-00023,Tablet,Abu Dhabi,Direct,Credit Card,Logged-In Member,Home & Living,8,5,552.44,622.8,15,6,2762.2,1,1,1,1,1,0,,,1286.77,0,4,1,1,Storage Box|Desk Lamp|Bedsheet
CIQ-00024,desktop ,Dubai,Google Shopping,Cash on Delivery,Logged-In Member,Beauty,3,2,88.61,162.9,6,2,177.22,1,1,0,0,0,0,,,744.78,15,1,0,0,Sunscreen|Phone Case
CIQ-00025,MOBILE,Jeddah,Direct,Credit Card,Logged-In Member,Electronics,2,4,165.05,356.9,14,5,660.2,1,1,1,1,1,1,4.2,4.0,436.17,10,4,0,0,Smart Watch|Wireless Earbuds
CIQ-00026,Mobile,Dubai,Instagram Ads,Tabby/Tamara,Logged-In Member,Beauty,3,5,106.25,590.1,19,6,531.25,1,1,1,1,1,1,2.3,5.0,697.52,10,4,0,0,Face Serum|Cleanser|Sunscreen
CIQ-00027,Desktop,Riyadh,Google Shopping,Apple Pay,Logged-In Member,Electronics,2,4,155.4,647.5,14,6,621.6,1,1,1,1,0,1,3.5,5.0,488.57,0,12,0,0,Smart Watch|Phone Case|Power Bank
CIQ-00028,Mobile, Dubai,Google Shopping,Apple Pay,Logged-In Member,Home & Living,1,5,104.95,645.9,13,6,524.75,1,1,1,1,0,0,,,458.22,0,48,1,1,Bedsheet|Desk Lamp|Scented Candle
CIQ-00029,Mobile, Dubai,Google Shopping,Credit Card,Guest,Fashion,5,2,208.87,325.7,7,2,417.74,1,1,0,0,0,1,4.9,2.0,822.5,10,4,0,0,Sneakers|Smart Watch
CIQ-00030,MOBILE, Riyadh,Google Shopping,Apple Pay,Logged-In Member,Home & Living,2,2,44.35,327.4,8,3,88.7,1,1,1,1,1,1,3.6,4.0,506.32,10,4,0,0,Storage Box
CIQ-00031,MOBILE,Dubai,Instagram Ads,Apple Pay,Guest,Fashion,2,6,16.25,692.9,17,6,97.5,1,1,1,0,1,1,2.2,4.0,207.79,20,4,0,0,Sneakers|Handbag|Sunglasses|Phone Case
CIQ-00032,Tablet, Riyadh,Email,Credit Card,Logged-In Member,Electronics,4,6,127.81,531.3,12,6,766.86,1,1,1,0,1,1,4.1,5.0,662.75,10,4,0,0,Wireless Earbuds|Power Bank|Smart Watch
CIQ-00033,Mobile,Dubai,TikTok Shop,Tabby/Tamara,Guest,Home & Living,0,4,25.8,261.9,11,5,103.2,1,1,0,0,0,0,,,175.8,10,12,0,0,Storage Box|Desk Lamp
CIQ-00034,Mobile,Jeddah,Instagram Ads,Apple Pay,Logged-In Member,Fashion,1,4,243.34,485.5,11,6,973.36,1,1,1,1,1,1,2.9,3.0,305.34,0,24,0,0,Sneakers|T-Shirt
CIQ-00035,Desktop,Riyadh,Direct,Tabby/Tamara,Guest,Home & Living,0,5,63.77,695.3,17,6,318.85,1,1,1,1,0,1,2.4,5.0,109.43,0,24,0,0,Bedsheet|Storage Box|Scented Candle
CIQ-00036,Mobile,Riyadh,Direct,Credit Card,Guest,Home & Living,0,4,44.81,498.3,10,4,179.24,1,1,1,1,1,1,1.0,4.0,105.78,15,1,0,0,Desk Lamp|Scented Candle
CIQ-00037,Mobile,Dubai,TikTok Shop,Credit Card,Logged-In Member,Fashion,10,3,650.0,324.5,9,3,1950.0,1,1,0,0,0,0,,,1686.59,10,24,1,0,Sunglasses|T-Shirt
CIQ-00038,Desktop,Dubai,Google Shopping,Apple Pay,Logged-In Member,Fashion,2,3,93.38,386.7,10,3,280.14,1,1,1,1,0,1,1.4,5.0,499.24,0,4,0,0,Handbag|T-Shirt
CIQ-00039,Mobile,Abu Dhabi,Instagram Ads,Tabby/Tamara,Guest,Beauty,1,4,81.35,489.0,14,5,325.4,1,1,1,0,0,0,,,341.62,10,1,1,1,Face Serum|Sunscreen
CIQ-00040,Desktop,Sharjah,Instagram Ads,Cash on Delivery,Logged-In Member,Home & Living,1,1,162.15,231.1,4,2,162.15,1,1,1,1,0,1,1.5,5.0,403.71,15,48,0,0,Scented Candle
CIQ-00041,Mobile,Dubai,Google Shopping,Credit Card,Guest,Home & Living,2,5,170.23,358.8,16,6,851.15,1,1,0,0,0,1,5.0,5.0,569.48,0,48,0,0,Scented Candle|Storage Box|Desk Lamp
CIQ-00042,desktop , Dubai,Instagram Ads,Tabby/Tamara,Guest,Fashion,1,2,214.9,257.1,6,3,429.8,1,1,0,0,0,0,,,72.62,0,4,0,0,Handbag
CIQ-00043,MOBILE,Abu Dhabi,TikTok Shop,Credit Card,Guest,Beauty,2,1,36.24,337.2,11,2,36.24,1,1,1,0,1,0,,,467.22,10,24,1,0,Cleanser
CIQ-00044,Mobile,Dubai,Email,Credit Card,Logged-In Member,Fashion,2,3,139.21,182.2,9,3,417.63,1,1,1,1,1,1,4.2,4.0,390.41,10,12,0,0,Sunglasses|T-Shirt
CIQ-00045,desktop ,Abu Dhabi,Google Shopping,Apple Pay,Logged-In Member,Beauty,8,2,76.62,253.6,10,3,153.24,1,1,1,1,1,1,3.1,4.0,1316.6,0,48,0,0,Face Serum|Sunscreen
CIQ-00046,MOBILE,Dubai,Instagram Ads,Credit Card,Logged-In Member,Home & Living,1,2,48.76,167.9,7,3,97.52,1,1,0,0,0,1,2.4,3.0,354.77,10,4,0,0,Scented Candle
CIQ-00047,Mobile,Dubai,Instagram Ads,Credit Card,Logged-In Member,Home & Living,9,5,97.97,422.9,13,5,489.85,1,1,1,1,0,1,1.5,4.0,1532.0,15,4,0,0,Desk Lamp|Scented Candle|Storage Box
CIQ-00048,Mobile, Riyadh,Instagram Ads,Credit Card,Logged-In Member,Fashion,2,4,25.68,687.5,17,4,102.72,1,1,1,1,1,1,4.0,3.0,482.16,0,24,0,0,T-Shirt|Sneakers
CIQ-00049,MOBILE,Abu Dhabi,Direct,Tabby/Tamara,Logged-In Member,Fashion,3,1,183.92,427.9,8,2,183.92,1,1,1,1,1,1,2.2,5.0,552.25,15,1,0,0,Sneakers|Sunglasses
CIQ-00050,Mobile,Abu Dhabi,Google Shopping,Credit Card,Logged-In Member,Electronics,3,8,76.76,577.7,20,8,614.08,1,1,1,1,1,1,5.7,4.0,739.37,0,24,0,0,Smart Watch|Power Bank|Wireless Earbuds|Phone Case
CIQ-00051,Mobile,Sharjah,TikTok Shop,Apple Pay,Guest,Electronics,1,3,67.1,411.7,10,4,201.3,1,1,1,0,1,0,,,118.96,15,4,1,0,Smart Watch|Phone Case|Power Bank
CIQ-00052,Mobile,Riyadh,Email,Tabby/Tamara,Guest,Fashion,1,2,85.7,152.4,5,4,171.4,1,1,1,1,1,0,,,152.26,5,24,0,1,Sunglasses
CIQ-00053,MOBILE,Abu Dhabi,Direct,Apple Pay,Guest,Home & Living,0,4,83.88,460.1,16,4,335.52,1,1,1,0,0,0,,,112.41,5,4,0,1,Bedsheet|Scented Candle
CIQ-00054,Desktop,Sharjah,Direct,Cash on Delivery,Logged-In Member,Fashion,4,4,215.14,619.9,16,6,860.56,1,1,1,1,1,1,1.9,2.0,924.2,15,24,0,0,Sunglasses|Sneakers
CIQ-00055,MOBILE,Jeddah,Direct,Cash on Delivery,Guest,Fashion,2,3,43.0,572.4,12,3,129.0,1,1,1,1,1,1,2.8,5.0,530.17,15,1,0,0,Sneakers|Sunglasses
CIQ-00056,MOBILE,Sharjah,Instagram Ads,Cash on Delivery,Guest,Beauty,1,7,71.87,607.7,16,8,503.09,1,1,1,1,1,1,3.0,2.0,247.05,5,1,0,0,Lip Tint|Cleanser|Face Serum|Sunscreen
CIQ-00057,Mobile,Jeddah,Google Shopping,Apple Pay,Logged-In Member,Electronics,7,7,80.97,801.7,20,7,566.79,1,1,1,1,1,1,6.7,5.0,1520.65,20,1,0,0,Wireless Earbuds|Power Bank|Smart Watch|Phone Case
CIQ-00058,Desktop,Riyadh,Direct,Tabby/Tamara,Logged-In Member,Electronics,7,2,43.95,306.3,8,3,87.9,1,1,1,1,1,1,3.0,5.0,1342.79,10,12,0,0,Power Bank
CIQ-00059,Mobile, Dubai,Google Shopping,Apple Pay,Guest,Home & Living,1,3,106.13,439.4,10,5,318.39,1,1,1,1,0,1,2.1,4.0,345.42,10,4,0,0,Scented Candle|Bedsheet|Storage Box
CIQ-00060,Mobile,Abu Dhabi,TikTok Shop,Cash on Delivery,Guest,Electronics,1,6,56.19,596.1,17,6,337.14,1,1,1,1,1,1,3.7,5.0,134.26,5,4,0,0,Phone Case|Power Bank|Smart Watch
CIQ-00061,Desktop,Riyadh,Instagram Ads,Credit Card,Guest,Fashion,1,3,34.43,417.6,10,5,103.29,1,1,1,1,1,0,,,184.35,0,48,0,0,T-Shirt|Sneakers
CIQ-00062,Desktop,Jeddah,Instagram Ads,Tabby/Tamara,Guest,Beauty,2,7,138.23,720.9,19,8,967.61,1,1,1,1,1,1,3.1,5.0,345.99,15,4,0,0,Cleanser|Sunscreen|Face Serum|Lip Tint
CIQ-00063,Desktop,Abu Dhabi,Instagram Ads,Credit Card,Logged-In Member,Electronics,4,6,288.31,591.5,15,8,1729.86,1,1,1,1,0,1,2.7,3.0,955.33,10,4,0,0,Power Bank|Smart Watch|Phone Case
CIQ-00064,MOBILE,Dubai,Email,Tabby/Tamara,Logged-In Member,Fashion,4,3,97.99,418.3,10,4,293.97,1,1,1,0,1,1,3.7,3.0,927.56,10,24,0,0,Sneakers|T-Shirt|Sunglasses
CIQ-00065,Desktop,Sharjah,Google Shopping,Credit Card,Guest,Electronics,1,10,87.85,966.1,30,11,878.5,1,1,1,1,1,1,2.6,5.0,202.68,15,4,0,0,Smart Watch|Power Bank|Phone Case|Wireless Earbuds
CIQ-00066,Desktop,Dubai,Google Shopping,Apple Pay,Guest,Fashion,3,5,86.52,707.2,14,7,432.6,1,1,1,1,1,0,,,683.76,0,24,0,0,Sneakers|T-Shirt|Sunglasses
CIQ-00067,Desktop,Riyadh,Google Shopping,Tabby/Tamara,Guest,Home & Living,2,2,65.27,302.8,7,3,130.54,1,1,1,1,1,1,4.3,5.0,308.0,15,12,0,0,Bedsheet|Power Bank
CIQ-00068,Mobile,Sharjah,Direct,Cash on Delivery,Guest,Fashion,1,8,219.75,515.1,18,9,1758.0,1,1,1,0,1,1,3.5,4.0,267.91,10,48,0,0,Sunglasses|Handbag|T-Shirt|Sneakers
CIQ-00069,Mobile,Riyadh,Email,Credit Card,Guest,Fashion,1,5,101.26,437.2,11,5,506.3,1,1,1,0,0,0,,,68.3,15,4,1,1,Sunglasses|Sneakers|T-Shirt
CIQ-00070,Mobile,Riyadh,Google Shopping,Tabby/Tamara,Logged-In Member,Fashion,4,6,19.71,672.3,15,6,118.26,1,1,1,0,0,1,1.3,4.0,886.6,10,12,0,0,T-Shirt|Sneakers|Sunglasses
CIQ-00071,Mobile, Riyadh,Email,Cash on Delivery,Guest,Home & Living,0,5,224.36,684.9,15,6,1121.8,1,1,1,1,1,0,,,241.05,20,24,0,0,Storage Box|Bedsheet|Desk Lamp
CIQ-00072,Mobile,Sharjah,Instagram Ads,Credit Card,Logged-In Member,Electronics,7,4,188.06,444.3,11,4,752.24,1,1,1,1,1,1,2.7,4.0,1001.23,10,12,0,0,Wireless Earbuds|Power Bank|Sunglasses
CIQ-00073,desktop ,Riyadh,Direct,Cash on Delivery,Guest,Home & Living,1,7,145.93,418.8,16,8,1021.51,1,1,1,0,0,1,3.5,4.0,155.81,0,4,0,0,Bedsheet|Storage Box|Scented Candle|Desk Lamp
CIQ-00074,Mobile,Riyadh,Google Shopping,Cash on Delivery,Logged-In Member,Fashion,4,3,13.02,277.7,9,4,39.06,1,1,1,1,1,1,1.4,4.0,844.55,10,1,0,0,Sunglasses|T-Shirt
CIQ-00075,Mobile,Riyadh,Instagram Ads,Apple Pay,Guest,Home & Living,1,6,94.43,390.6,14,7,566.58,1,1,1,1,1,1,3.5,5.0,230.32,0,12,0,0,Scented Candle|Bedsheet|Storage Box|Smart Watch
CIQ-00076,Mobile, Dubai,Direct,Credit Card,Guest,Fashion,3,2,180.06,244.3,7,4,360.12,1,1,0,1,1,0,,,366.58,0,12,0,0,Sneakers
CIQ-00077,Mobile,Sharjah,Direct,Cash on Delivery,Logged-In Member,Electronics,3,3,124.37,441.0,10,3,373.11,1,1,0,1,1,1,3.0,4.0,471.85,10,4,0,0,Smart Watch|Wireless Earbuds
CIQ-00078,Desktop,Dubai,Google Shopping,Tabby/Tamara,Logged-In Member,Fashion,5,6,109.7,426.0,14,6,658.2,1,1,1,0,1,1,2.3,5.0,890.3,5,24,0,0,Sneakers|T-Shirt|Handbag|Sunglasses
CIQ-00079,Desktop,Riyadh,TikTok Shop,Credit Card,Guest,Electronics,1,4,180.33,207.7,10,4,721.32,1,1,1,0,1,0,,,171.77,10,4,0,0,Wireless Earbuds|Phone Case|Power Bank
CIQ-00080,MOBILE, Riyadh,Email,Cash on Delivery,Guest,Beauty,2,7,104.62,651.3,18,9,732.34,1,1,1,0,1,1,2.5,5.0,436.95,15,48,0,0,Face Serum|Cleanser|Sunscreen|Lip Tint
CIQ-00081,Desktop,Abu Dhabi,Instagram Ads,Apple Pay,Logged-In Member,Beauty,4,2,225.11,295.6,10,3,450.22,1,1,1,0,0,1,4.1,4.0,955.43,20,24,0,0,Lip Tint
CIQ-00082,Mobile,Dubai,Direct,Tabby/Tamara,Logged-In Member,Beauty,3,2,106.32,265.2,5,4,212.64,1,1,0,0,0,1,4.2,5.0,667.81,5,12,0,0,Face Serum
CIQ-00083,MOBILE,Dubai,TikTok Shop,Apple Pay,Logged-In Member,Electronics,5,4,100.4,371.8,12,4,401.6,1,1,1,1,1,1,2.4,3.0,1130.79,10,12,0,0,Phone Case|Smart Watch|Power Bank|Handbag
CIQ-00084,Mobile,Riyadh,Google Shopping,Tabby/Tamara,Guest,Beauty,0,7,179.92,842.3,17,7,1259.44,1,1,1,0,0,1,3.9,4.0,57.99,15,1,0,0,Face Serum|Lip Tint|Sunscreen|Cleanser|Power Bank
CIQ-00085,Mobile,Dubai,TikTok Shop,Credit Card,Guest,Fashion,1,4,71.02,463.3,10,5,284.08,1,1,1,1,0,0,,,208.73,10,4,1,1,Sneakers|T-Shirt|Sunglasses
CIQ-00086,Mobile,Dubai,Instagram Ads,Cash on Delivery,Guest,Home & Living,3,1,42.95,228.8,4,2,42.95,1,1,0,1,1,0,,,668.53,10,24,1,0,Scented Candle|Storage Box
CIQ-00087,MOBILE,Riyadh,TikTok Shop,Tabby/Tamara,Guest,Beauty,1,3,94.89,325.9,9,4,284.67,1,1,1,1,1,0,,,250.93,0,48,0,0,Sunscreen|Lip Tint|Bedsheet
CIQ-00088,Desktop,Riyadh,Google Shopping,Tabby/Tamara,Logged-In Member,Beauty,6,6,144.76,817.8,20,7,868.56,1,1,1,1,1,1,3.1,4.0,1084.28,5,4,0,0,Cleanser|Sunscreen|Face Serum
CIQ-00089,Mobile,Dubai,Instagram Ads,Cash on Delivery,Logged-In Member,Home & Living,3,3,184.24,441.7,10,4,552.72,1,1,1,1,1,0,,,676.54,0,48,0,0,Desk Lamp|Storage Box
CIQ-00090,Desktop,Dubai,Direct,Cash on Delivery,Guest,Beauty,3,5,184.98,653.8,13,6,924.9,1,1,1,1,0,1,3.2,5.0,696.25,15,4,0,0,Face Serum|Cleanser|Lip Tint|Sunscreen|Sneakers
CIQ-00091,Mobile,Jeddah,Direct,Cash on Delivery,Logged-In Member,Beauty,3,1,90.07,303.9,6,1,90.07,1,1,0,1,1,1,3.6,2.0,680.67,10,24,0,0,Sunscreen
CIQ-00092,MOBILE,Riyadh,TikTok Shop,Credit Card,Logged-In Member,Electronics,7,2,83.65,350.2,7,2,167.3,1,1,1,1,1,1,2.4,5.0,1352.29,5,48,0,0,Phone Case
CIQ-00093,Mobile,Sharjah,Email,Tabby/Tamara,Logged-In Member,Beauty,4,4,61.79,559.0,14,4,247.16,1,1,1,1,1,1,2.6,5.0,1102.61,20,4,0,0,Cleanser|Sunscreen
CIQ-00094,Mobile,Dubai,Google Shopping,Tabby/Tamara,Guest,Fashion,1,6,113.29,759.4,17,7,679.74,1,1,1,0,0,1,3.9,5.0,312.26,10,1,0,0,Sneakers|Sunglasses|T-Shirt
CIQ-00095,Mobile,Dubai,Instagram Ads,Cash on Delivery,Guest,Electronics,2,4,29.03,534.1,13,5,116.12,1,1,1,1,1,0,,,370.15,20,12,0,1,Power Bank|Smart Watch
CIQ-00096,Desktop, Dubai,Instagram Ads,Credit Card,Guest,Home & Living,0,4,96.2,374.1,11,5,384.8,1,1,0,0,0,0,,,126.65,10,12,0,1,Scented Candle|Bedsheet|Storage Box
CIQ-00097,Mobile,Riyadh,Instagram Ads,Credit Card,Guest,Electronics,4,5,650.0,632.8,15,7,3250.0,1,1,1,1,1,0,,,560.88,15,12,0,0,Power Bank|Phone Case|Wireless Earbuds
CIQ-00098,Mobile, Dubai,Instagram Ads,Credit Card,Guest,Beauty,3,3,32.05,599.3,11,4,96.15,1,1,1,0,1,0,,,326.8,5,24,0,0,Cleanser|Lip Tint
CIQ-00099,Mobile, Dubai,TikTok Shop,Apple Pay,Guest,Electronics,1,2,105.95,573.5,11,3,211.9,1,1,0,0,0,1,2.2,4.0,215.98,20,48,0,0,Phone Case|Power Bank
CIQ-00100,Tablet,Riyadh,TikTok Shop,Cash on Delivery,Guest,Fashion,3,2,124.22,497.4,10,3,248.44,1,1,1,0,0,1,3.9,3.0,367.61,5,1,0,0,Sneakers|Sunglasses|Storage Box
CIQ-00101,Tablet,Jeddah,Google Shopping,Credit Card,Guest,Home & Living,3,3,136.27,384.8,10,5,408.81,1,1,1,1,0,0,,,554.81,5,48,0,0,Storage Box|Bedsheet
CIQ-00102,MOBILE,Riyadh,Instagram Ads,Apple Pay,Logged-In Member,Electronics,5,1,47.18,346.8,8,1,47.18,1,1,0,1,0,0,,,841.39,15,4,1,1,Smart Watch
CIQ-00103,Mobile,Abu Dhabi,Direct,Tabby/Tamara,Logged-In Member,Beauty,4,7,137.17,718.5,20,8,960.19,1,1,1,1,1,1,3.0,5.0,650.52,5,48,0,0,Face Serum|Sunscreen|Lip Tint|Cleanser|Wireless Earbuds
CIQ-00104,Tablet,Abu Dhabi,Instagram Ads,Credit Card,Guest,Beauty,1,4,64.4,533.4,11,4,257.6,1,1,1,0,1,1,1.8,4.0,299.56,20,24,0,0,Sunscreen|Lip Tint
CIQ-00105,MOBILE,Abu Dhabi,Google Shopping,Cash on Delivery,Logged-In Member,Home & Living,2,4,33.86,420.9,10,6,135.44,1,1,1,1,1,1,2.3,4.0,460.44,0,24,0,0,Bedsheet|Desk Lamp
CIQ-00106,MOBILE,Dubai,Instagram Ads,Cash on Delivery,Guest,Electronics,2,3,187.81,338.0,9,3,563.43,1,1,0,1,0,1,4.6,5.0,375.9,0,48,0,0,Wireless Earbuds|Power Bank
CIQ-00107,Mobile,Sharjah,Instagram Ads,Credit Card,Guest,Home & Living,3,8,152.71,696.1,22,8,1221.68,1,1,1,1,1,1,2.1,4.0,660.72,0,1,0,0,Storage Box|Desk Lamp|Scented Candle|Bedsheet
CIQ-00108,Mobile,Abu Dhabi,Google Shopping,Cash on Delivery,Logged-In Member,Fashion,2,4,47.18,364.8,12,5,188.72,1,1,0,0,1,0,,,469.54,5,24,1,1,Sneakers|Sunglasses
CIQ-00109,Mobile,Sharjah,TikTok Shop,Apple Pay,Guest,Fashion,1,5,63.97,409.1,12,6,319.85,1,1,1,1,1,0,,,260.13,15,4,1,1,Sneakers|Handbag|T-Shirt|Wireless Earbuds
CIQ-00110,Tablet,Jeddah,Instagram Ads,Credit Card,Guest,Fashion,3,6,62.33,553.8,15,6,373.98,1,1,1,1,1,1,3.4,3.0,539.63,20,4,0,0,Sunglasses|Handbag|T-Shirt
CIQ-00111,Mobile,Jeddah,Direct,Credit Card,Guest,Fashion,1,2,28.98,254.8,7,3,57.96,1,1,1,1,1,0,,,201.47,20,12,1,0,Sneakers
CIQ-00112,Mobile, Dubai,Direct,Tabby/Tamara,Guest,Fashion,2,3,163.85,302.8,11,4,491.55,1,1,0,0,0,1,1.2,4.0,341.36,20,12,0,0,Sunglasses|T-Shirt
CIQ-00113,Mobile,Abu Dhabi,TikTok Shop,Credit Card,Logged-In Member,Electronics,5,4,168.33,248.0,10,4,673.32,1,1,0,1,1,1,3.4,5.0,1063.88,5,24,0,0,Phone Case|Power Bank
CIQ-00114,Desktop,Dubai,Google Shopping,Apple Pay,Guest,Fashion,1,7,74.48,408.4,18,7,521.36,1,1,1,1,1,0,,,271.56,10,12,0,0,Handbag|Sneakers|Sunglasses|T-Shirt
CIQ-00115,Mobile,Abu Dhabi,Google Shopping,Apple Pay,Guest,Beauty,0,3,92.74,453.5,10,3,278.22,1,1,1,1,1,1,3.8,2.0,99.62,10,4,0,0,Sunscreen|Lip Tint
CIQ-00116,desktop ,Dubai,Instagram Ads,Tabby/Tamara,Guest,Fashion,2,4,102.78,331.7,11,5,411.12,1,1,0,0,1,0,,,300.15,15,4,0,0,Sunglasses|Sneakers
CIQ-00117,MOBILE,Dubai,Instagram Ads,Apple Pay,Guest,Electronics,0,6,112.84,576.2,13,6,677.04,1,1,1,1,1,1,3.5,5.0,119.22,20,24,0,0,Wireless Earbuds|Power Bank|Smart Watch
CIQ-00118,MOBILE,Riyadh,Instagram Ads,Tabby/Tamara,Guest,Fashion,2,3,35.87,467.9,12,4,107.61,1,1,0,0,0,1,4.6,4.0,432.6,0,24,0,0,Sneakers|Sunglasses
CIQ-00119,Mobile,Abu Dhabi,TikTok Shop,Apple Pay,Logged-In Member,Fashion,4,4,134.52,616.5,13,5,538.08,1,1,1,1,1,0,,,911.45,10,12,0,1,Sneakers|T-Shirt|Sunglasses|Face Serum
CIQ-00120,Desktop,Jeddah,Google Shopping,Cash on Delivery,Logged-In Member,Beauty,4,5,40.59,489.6,13,5,202.95,1,1,1,1,1,1,1.9,5.0,824.7,10,4,0,0,Cleanser|Face Serum|Sunscreen
